User_Cd,Store_Cd,Sku_Cd,FrequentlyBitnk,Pricejudge,PriceRank,LastPricejudge,PriceChangeFlag,,Other2,Other3,Other4,Other5,RsvChar1,RsvChar2,RsvChar3,RsvChar4,RsvNum1,RsvNum2,RsvNum3,RsvNum4,RsvDate1,RsvDateTime1,AddOperator_Cd,AddDateTime,AddProc_Cd,UpdOperator_Cd,UpdDateTime,UpdProc_Cd
"0","","xxxxxxxxxXxxx","900000000000.00","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0",,"xxxxxxxxxXxxx","900000000011.01","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0",null,"xxxxxxxxxXxxx","900000000022.02","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","null","xxxxxxxxxXxxx","900000000033.03","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0",NULL,"xxxxxxxxxXxxx","900000000044.04","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","NULL","xxxxxxxxxXxxx","900000000055.05","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","","900000000066.06","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx",,"900000000077.07","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx",null,"900000000088.08","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","null","900000000099.09","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx",NULL,"9000000001010.10","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","NULL","9000000001111.11","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx",,"xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx",null,"xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","null","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx",NULL,"xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","NULL","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000001818.18","","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000001919.19",,"x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002020.20",null,"x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002121.21","null","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002222.22",NULL,"x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002323.23","NULL","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002424.24","xx","","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002525.25","xx",,"xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002626.26","xx",null,"xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002727.27","xx","null","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002828.28","xx",NULL,"xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000002929.29","xx","NULL","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003030.30","xx","x","","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003131.31","xx","x",,"x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003232.32","xx","x",null,"x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003333.33","xx","x","null","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003434.34","xx","x",NULL,"x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003535.35","xx","x","NULL","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003636.36","xx","x","xx","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003737.37","xx","x","xx",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003838.38","xx","x","xx",null,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000003939.39","xx","x","xx","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004040.40","xx","x","xx",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004141.41","xx","x","xx","NULL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxxx","xxxxxxxxxXxxx","9000000004242.42","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxxx","9000000004343.43","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004444.044","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004545.45","xxx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004646.46","xx","xx","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004747.47","xx","x","xxx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9000000004848.48","xx","x","xx","xx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","xxxxx","xxxxxxxxxXxxx","9xxxxxxxx4949.49","xx","x","xx","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
